score_id,benchmark_type,submitted_date,cpu,gpu,score,fps,resolution,duration_ms,os,driver,url
2579508,FurMark (GL),,Intel(R) Core(TM) i7-4790K CPU @ 4.00GHz,AMD Radeon RX 580 Series (radeonsi polaris10 ACO DRM 3.64 7.0.1-1-cachyos),3904,65,1920x1080,60000,Linux 7.0.1-1-cachyos 64-bit,,https://gpumagick.com/scores/2579508
2579358,FurMark (GL),,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,Radeon RX 580 Series,3893,64,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2579358
2579338,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,AMD Radeon RX 580 2048SP,3301,54,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2579338
2579238,FurMark (GL),,Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz,Radeon RX 580 Series,3763,62,1920x1080,60000,Windows 10 build 19044,,https://gpumagick.com/scores/2579238
2579178,FurMark (GL),,Intel(R) Core(TM) i5-2500S CPU @ 2.70GHz,AMD Radeon RX 580 2048SP,3294,54,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2579178
2578968,FurMark (GL),,Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz,Radeon RX 580 Series,4277,68,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2578968
2578883,FurMark (GL),,AMD Ryzen 3 4100 4-Core Processor,AMD Radeon RX 580 2048SP,2759,45,1920x1080,60000,Windows 10 build 19044,,https://gpumagick.com/scores/2578883
2578858,FurMark (GL),,AMD Ryzen 5 5600X 6-Core Processor,Radeon RX 580 Series,4147,69,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2578858
2578808,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2650 v2 @ 2.60GHz,AMD Radeon RX 580 2048SP,1725,28,2560x1440,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2578808
2578753,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2690 v3 @ 2.60GHz,Radeon RX 580 Series,3977,66,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2578753
